,Site,Tag,Array,Genotype,NurseyGroup,FragID,T0_Method,T0_TLE,T0_SA,T0_V,T0_Vcx,T0_SAcx,T6_TLE,T6_SA,T6_V,T6_Vcx,T6_SAcx,T12_TLE,T12_SA,T12_V,T12_Vcx,T12_SAcx,T12_Dead,T12_TOD,CulumativeBreaks,T12_Status,X,T0_FieldTLE,T6_FieldTLE,T0_Vinter,T6_Vinter,T12_Vinter,TLE_0.6,SA_0.6,V_0.6,Vinter_0.6,SAtoV_0.6,TLE_6.12,SA_6.12,V_6.12,Vinter_6.12,SAtoV_6.12,TLE_0.12,SA_0.12,V_0.12,Vinter_0.12,SAtoV_0.12,SAtoTLE_0.6,SAtoTLE_6.12,SAtoTLE_0.12,FieldTLE_0.6,Status
24,Big Pine,20,2,62,10,7,3D,10.656,39.776,9.606,25.139,52.099,0.869,10.679,2.696,3.742,19.073,6.237,23.55,5.93,13.044,35.054,0,13,1,A,,10.8,1.4,15.533,1.046,7.114,-9.787,-29.097,-6.91,-14.487,-0.179691955,5.368,12.871,3.234,6.068,0.010278797,-4.419,-16.226,-3.676,-8.419,-0.169413158,2.973025442,2.397727273,3.671871464,-9.4,Broken
25,Big Pine,22,3,44,8,11,3D,7.812,40.744,15.772,24.198,51.178,21.007,81.432,20.832,112.144,131.727,24.193,86.449,29.553,126.628,143.155,0,13,0,A,,8.8,16.8,8.426,91.312,97.075,13.195,40.688,5.06,82.886,1.325673976,3.186,5.017,8.721,5.763,-0.983767077,16.381,45.705,13.781,88.649,0.341906899,3.08359227,1.57470182,2.790122703,8,Unbroken
26,Big Pine,23,3,13,4,9,3D,7.766,27.652,4.934,16.312,39.955,4.162,18.796,4.921,9.506,25.939,15.646,38.26,8.276,27.032,48.02,0,13,1,A,,8.5,8.1,11.378,4.585,18.756,-3.604,-8.856,-0.013,-6.793,-1.784828915,11.484,19.464,3.355,14.171,0.803457411,7.88,10.608,3.342,7.378,-0.981371504,2.4572697,1.694879833,1.346192893,-0.4,Broken
27,Big Pine,24,3,41,7,8,3D,7.183,24.576,4.465,11.179,30.557,1.226,9.548,3.053,3.728,16.886,4.022,13.371,2.757,5.746,20.613,0,13,1,A,,8,2.4,6.714,0.675,2.989,-5.957,-15.028,-1.412,-6.039,-2.37672768,2.796,3.823,-0.296,2.314,1.722421122,-3.161,-11.205,-1.708,-3.725,-0.654306558,2.522746349,1.367310443,3.544764315,-5.6,Broken
28,Big Pine,26,3,3,2,7,3D,7.822,31.386,6.841,14.681,38.748,3.44,28.696,8.48,18.786,44.677,20.25,66.221,26.493,59.709,80.033,0,13,1,A,,10.4,4.5,7.84,10.306,33.216,-4.382,-2.69,1.639,2.466,-1.203963478,16.81,37.525,18.013,22.91,-0.884396341,12.428,34.835,19.652,25.376,-2.088359819,0.613874943,2.232302201,2.802944963,-5.9,Broken
29,Big Pine,27,3,50,9,9,3D,8.447,29.586,5.976,15.457,37.439,16.011,58.295,14.65,53.428,80.36,38.951,127.396,38.319,173.823,170.73,0,13,0,A,,9.6,16.9,9.481,38.778,135.504,7.564,28.709,8.674,29.297,-0.971622325,22.94,69.101,23.669,96.726,-0.654563857,30.504,97.81,32.343,126.023,-1.626186182,3.795478583,3.012249346,3.206464726,7.3,Unbroken
30,Big Pine,28,3,7,3,7,3D,5.03,22.618,4.48,8.075,24.72,0.71,7.608,1.794,2.478,12.8,5.534,13.577,3.631,6.111,21.122,0,13,1,A,,6.4,1.2,3.595,0.684,2.48,-4.32,-15.01,-2.686,-2.911,-0.807858039,4.824,5.969,1.837,1.796,-0.50161237,0.504,-9.041,-0.849,-1.115,-1.309470409,3.474537037,1.237354892,-17.93849206,-5.2,Broken
31,Big Pine,29,3,1,1,8,3D,9.247,31.072,7.86,19.136,44.242,40.627,191.947,67.812,328.502,264.21,50.885,179.128,55.561,235.557,203.666,0,13,0,A,,10,34.8,11.276,260.69,179.996,31.38,160.875,59.952,249.414,-1.122604952,10.258,-12.819,-12.251,-80.694,0.39341234,41.638,148.056,47.701,168.72,-0.729192612,5.12667304,-1.249658803,3.555790384,24.8,Unbroken
32,Big Pine,30,3,36,6,8,3D,5.009,18.91,3.429,6.882,23.193,1.03,14.468,4.304,6.057,24.041,8.971,27.628,6.344,18.003,43.984,0,13,1,A,,6,2,3.453,1.753,11.659,-3.979,-4.442,0.875,-1.7,-2.153203162,7.941,13.16,2.04,9.906,0.993456921,3.962,8.718,2.915,8.206,-1.159746241,1.116360895,1.657222012,2.200403836,-4,Broken
33,Dave's Ledge,2,1,3,2,20,3D,11.808,49.15,12.628,33.082,60.339,2.407,17.953,5.484,8.704,28.997,12.558,45.275,15.423,32.718,57.098,0,13,1,A,,11.4,2.9,20.454,3.22,17.295,-9.401,-31.197,-7.144,-17.234,-0.618439116,10.151,27.322,9.939,14.075,-0.338154524,0.75,-3.875,2.795,-3.159,-0.95659364,3.318476758,2.691557482,-5.166666667,-8.5,Broken
